PERID,GENDER,COUNTRY_OF_BIRTH,NATIONALITY,AGE,AGE_GROUPING,MARITAL_STATUS,RANK_GRADE,RANK_GROUPING,YEARS_IN_GRADE,EMPLOYEE_GROUP,PARENT_SERVICE,SERVICE_SUB_AREA,SERVICE_TYPE,YEARS_OF_SERVICE,VOC,UNIT,NO_OF_KIDS,MIN_CHILD_AGE,AVE_CHILD_AGE,HSP_ESTABLISHMENT,HSP_CERTIFICATE,HSP_CERT_RANK,HSP_CERT_DESC,UPGRADED_LAST_3_YRS,UPGRADED_CERT_3_YRS,UPGRADED_CERT_DESC_3_YRS,MARRIED_WITHIN_2_YEARS,DIVORCE_WITHIN_2_YEARS,DIVORCE_REMARRIED_WITHIN_2_YEARS,PROMO_LAST_5_YRS,PROMO_LAST_4_YRS,PROMO_LAST_3_YRS,PROMO_LAST_2_YRS,PROMO_LAST_1_YR,UNIT_CHG_LAST_3_YRS,UNIT_CHG_LAST_2_YRS,UNIT_CHG_LAST_1_YR,AWARDS_RECEIVED,HOUSING_TYPE,HOUSING_GROUP,HOUSING_RANK,PREV_HOUSING_TYPE,MOVE_HOUSE_T_2,HOUSE_UPG_DGRD,IPPT_SCORE,PES_SCORE,HOMETOWORKDIST,SVC_INJURY_TYPE,TOT_PERC_INC_LAST_1_YR,BAS_PERC_INC_LAST_1_YR
10000001,Male,Singapore,Singaporean,53,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,36.41666667,VOCATION 236,UNIT 335,1,16,16,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,3,1,17.23960153,0,-11.85989093,6.109383574
10000003,Male,Singapore,Singaporean,53,40 and Above,Marr.,RANK 31,SENIOR WOSE,7,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,36.33333333,VOCATION 45,UNIT 156,1,20,20,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,4,4-ROOM,PUBLIC,4,NONE,NO,0,2,1,0,0,-30.2893107,-22.95402886
10000005,Male,Singapore,Singaporean,51,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,31.41666667,VOCATION 12,UNIT 109,2,13,14,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,6,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,4,33.31,0,-15.61275094,7.217246865
10000006,Male,Singapore,Singaporean,50,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,31.41666667,VOCATION 12,UNIT 11,2,19,21,Diploma,Diploma,6,DIPLOMA IN ELECTRICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,5,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,22.84,0,-7.481392838,6.922416306
10000007,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,28.5,VOCATION 154,UNIT 224,2,20,22,Diploma,Diploma,6,SPECIALIST DIPLOMA IN LEARNING AND INSTRUCTION,YES,Diploma,SPECIALIST DIPLOMA IN LEARNING AND INSTRUCTION,NO,NO,NO,0,0,0,0,0,NO,NO,NO,3,4-ROOM,PUBLIC,4,NONE,NO,0,3,,7.58,1,-18.92690111,9.293987865
10000011,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 26,SENIOR ME,3,MILITARY REGULARS,SERVICE C,SERVICE D,MDES,11.66666667,VOCATION 163,UNIT 224,3,2,6.333333333,University,Pass Degree,8,BACHELOR OF ARTS,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,1,5-ROOM,PUBLIC,5,NONE,NO,0,2,5,14.37,0,-9.850424982,10.53892962
10000012,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 38,SENIOR OFFICER,0,MILITARY REGULARS,SERVICE E,SERVICE A,SAVER-EOS,22.66666667,VOCATION 203,UNIT 322,1,8,8,University,Pass Degree,8,BACHELOR OF ARTS,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,2,5,12.2,0,-20.54199592,6.465320791
10000017,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 30,MIDDLE WOSE,6,MILITARY REGULARS,SERVICE F,SERVICE B,PP-EWOS,20.58333333,VOCATION 36,UNIT 262,2,2,4,Technical Education,NTC2/NITEC,5,BUILDING DRAFTING(CIVIL AND STRUCTURAL),NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,22.78,1,-25.56825804,-21.53482015
10000019,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 21,JUNIOR ME,3,MILITARY REGULARS,SERVICE D,SERVICE B,MDES,24.16666667,VOCATION 18,UNIT 186,3,7,9,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,NO,NO,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,4.25,0,-9.854875192,7.601680812
10000022,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,19.41666667,VOCATION 12,UNIT 124,1,0,0,Diploma,Diploma,6,DIPLOMA IN ELECTRONIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000027,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 10,SENIOR OFFICER,3,NATIONAL SERVICEMEN,SERVICE E,SERVICE C,SAVER-EOS,24.41666667,VOCATION 44,UNIT 156,3,9,13,University,Honours Degree,9,BACHELOR OF ENGINEERING (FIRST CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,NO,NO,3,EXECUTIVE,PUBLIC,6,NONE,NO,0,3,5,30.57,0,-16.28112237,4.517814207
10000033,Male,Singapore,Singaporean,47,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,5,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),26.16666667,VOCATION 127,UNIT 406,1,13,13,Diploma,Diploma,6,DIPLOMA IN MARINE ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,3,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,31.06,0,-11.28413213,10.29468726
10000035,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,4,MILITARY REGULARS,SERVICE A,SERVICE A,Full CPF (SAVER-EOS),27.66666667,VOCATION 203,UNIT 319,2,11,11.5,University,Pass Degree,8,BACHELOR OF ARTS (MERIT),NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,YES,YES,3,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,3,5,34.66,0,-15.91876154,11.40025576
10000038,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE G,SERVICE C,MDES,32.83333333,VOCATION 59,UNIT 385,1,14,14,Primary,PSLE/PSPE,2,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,1,1,11.06,0,-17.62159224,6.949196422
